2024-10-19 11:23:10 - INFO - ep: 67/500, t: 35.461, train_loss: 1103.2799, batch_loss: 1180.3540, IC: 88.2777, EQ: 136.2412, BC_G: 470.2484, BC_P: 94.5647, T_f: 0.0182, T_Pres: 427.3247
2024-10-19 11:23:45 - INFO - ep: 68/500, t: 35.165, train_loss: 1226.2767, batch_loss: 1525.6917, IC: 74.3427, EQ: 153.9191, BC_G: 426.7607, BC_P: 142.4902, T_f: 0.0188, T_Pres: 878.1137
2024-10-19 11:24:20 - INFO - ep: 69/500, t: 35.454, train_loss: 1280.1556, batch_loss: 1029.1654, IC: 89.0017, EQ: 148.0520, BC_G: 504.4026, BC_P: 101.4037, T_f: 0.0119, T_Pres: 582.4289
2024-10-19 11:24:56 - INFO - ep: 70/500, t: 35.303, train_loss: 1115.2255, batch_loss: 878.5792, IC: 38.8770, EQ: 132.7869, BC_G: 547.7104, BC_P: 159.2049, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:25:31 - INFO - ep: 71/500, t: 35.421, train_loss: 1052.2655, batch_loss: 1120.9377, IC: 49.0709, EQ: 105.7384, BC_G: 801.3644, BC_P: 164.7639, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:26:07 - INFO - ep: 72/500, t: 35.567, train_loss: 1296.2881, batch_loss: 850.0911, IC: 51.2343, EQ: 105.8564, BC_G: 551.9834, BC_P: 141.0170, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:26:42 - INFO - ep: 73/500, t: 35.369, train_loss: 1110.1036, batch_loss: 1251.8563, IC: 28.8129, EQ: 84.9880, BC_G: 814.3515, BC_P: 323.7039, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:27:18 - INFO - ep: 74/500, t: 35.704, train_loss: 1147.1666, batch_loss: 1095.2407, IC: 89.0520, EQ: 179.8420, BC_G: 483.8584, BC_P: 136.3967, T_f: 0.0131, T_Pres: 640.5469
2024-10-19 11:27:53 - INFO - ep: 75/500, t: 35.592, train_loss: 1099.2531, batch_loss: 1503.6113, IC: 100.7579, EQ: 202.7413, BC_G: 550.4265, BC_P: 140.0186, T_f: 0.0170, T_Pres: 786.4142
2024-10-19 11:28:29 - INFO - ep: 76/500, t: 35.479, train_loss: 1252.5742, batch_loss: 1060.4132, IC: 28.7077, EQ: 72.9194, BC_G: 865.8071, BC_P: 92.9791, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:29:04 - INFO - ep: 77/500, t: 35.547, train_loss: 1175.8962, batch_loss: 707.6121, IC: 33.8226, EQ: 90.5197, BC_G: 450.2595, BC_P: 133.0103, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:29:40 - INFO - ep: 78/500, t: 35.525, train_loss: 1104.9318, batch_loss: 1124.6118, IC: 45.5381, EQ: 109.3570, BC_G: 835.6193, BC_P: 134.0974, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:30:15 - INFO - ep: 79/500, t: 35.424, train_loss: 1249.8324, batch_loss: 803.4439, IC: 44.1119, EQ: 99.6693, BC_G: 515.4637, BC_P: 144.1990, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:30:51 - INFO - ep: 80/500, t: 35.488, train_loss: 1018.4291, batch_loss: 825.4669, IC: 23.0689, EQ: 74.8577, BC_G: 621.9072, BC_P: 105.6331, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:31:26 - INFO - ep: 81/500, t: 35.473, train_loss: 1351.4012, batch_loss: 2127.1379, IC: 43.7983, EQ: 100.2684, BC_G: 1704.5756, BC_P: 278.4956, T_f: 0.0000, T_Pres: 0.0000
